1	1	11	0	0	0
1	2	11	0	0	0
1	3	11	0	0	0
1	4	11	0	0	0
1	5	11	7.69	27	45
1	6	13	10.82	26	51
1	7	14	10.96	26	40
2	1	11	0	0	0
2	2	11	0	0	0
2	3	11	0	0	0
2	4	11	0	0	0
2	5	13	10.71	34	38
2	6	13	10.94	39	62
2	7	15	11.16	41	65
3	1	11	0	0	0
3	2	11	0	0	0
3	3	11	0	0	0
3	4	11	0	0	0
3	5	14	10.24	28	48
3	6	14	10.06	27	39
3	7	14	10.89	28	37
4	1	11	0	0	0
4	2	11	0	0	0
4	3	11	0	0	0
4	4	11	0	0	0
4	5	11	4.64	9	12
4	6	15	12.25	33	52
4	7	15	10.95	27	40
5	1	69	0	0	0
5	2	69	13.33	35	52
5	3	73	68.54	154	206
5	4	69	57.15	123	218
5	5	75	72.58	159	231
5	6	81	77.08	192	219
5	7	75	73.46	186	248
6	1	69	0	0	0
6	2	69	18.21	36	83
6	3	84	79.6	162	361
6	4	79	74.76	164	385
6	5	80	77.03	163	435
6	6	69	63.38	148	310
6	7	78	74.01	142	241
7	1	69	0	0	0
7	2	69	16.34	35	46
7	3	69	45.05	101	132
7	4	69	43.12	111	154
7	5	75	72.78	150	216
7	6	77	74.1	152	225
7	7	78	75.2	150	234
8	1	69	0	0	0
8	2	69	17.34	34	69
8	3	69	58.93	128	277
8	4	78	74.05	168	321
8	5	78	74.23	153	278
8	6	84	80.5	171	287
8	7	78	74.61	151	279
9	1	26	0	0	0
9	2	26	0	0	0
9	3	26	0	0	0
9	4	26	0	0	0
9	5	26	0	0	0
9	6	26	1.09	8	0
9	7	26	0.29	2	0
10	1	69	0	0	0
10	2	69	4.75	21	39
10	3	69	38.11	81	122
10	4	69	27.51	67	110
10	5	69	44.49	88	138
10	6	76	72.18	175	255
10	7	75	72.79	173	253
11	1	69	0	0	0
11	2	69	16.75	34	70
11	3	76	73.22	137	361
11	4	78	74.13	150	442
11	5	78	74.75	146	367
11	6	69	66.74	128	325
11	7	77	73.49	134	385
12	1	69	0	0	0
12	2	69	16.55	33	60
12	3	69	49.44	104	204
12	4	69	43.7	89	167
12	5	69	38.94	73	124
12	6	79	77.4	348	121
12	7	75	72.38	330	112
13	1	69	0	0	0
13	2	69	0.39	2	4
13	3	69	0.97	3	7
13	4	69	0	0	2
13	5	69	1.15	3	3
13	6	69	18.31	164	14
13	7	69	15.37	116	3
14	1	69	0	0	0
14	2	69	20.44	44	141
14	3	80	76.5	157	295
14	4	77	75.37	165	407
14	5	83	80.61	154	329
14	6	69	61.37	127	209
14	7	79	74.57	131	347
15	1	26	0	0	0
15	2	26	0	0	0
15	3	26	0	0	0
15	4	26	0	0	0
15	5	26	0	0	0
15	6	26	0	0	0
15	7	26	0	0	0
16	1	26	0	0	0
16	2	26	0	0	0
16	3	26	0	0	0
16	4	26	0	0	0
16	5	26	0	0	0
16	6	26	18.33	176	0
16	7	26	21.7	169	0
17	1	69	0	0	0
17	2	69	17.67	39	59
17	3	80	75.82	156	216
17	4	81	76.58	145	240
17	5	80	77.1	149	212
17	6	69	64.83	152	154
17	7	79	77.3	155	166
18	1	69	0	0	0
18	2	69	16.52	35	41
18	3	74	72.4	168	340
18	4	80	75.78	141	288
18	5	80	77.19	133	250
18	6	69	67.89	484	24
18	7	75	72.75	404	95
19	1	69	0	0	0
19	2	69	16.07	34	83
19	3	77	74	155	332
19	4	77	74.67	154	355
19	5	77	73.14	140	263
19	6	77	74.03	217	301
19	7	78	73.56	205	219
20	1	69	0	0	0
20	2	69	19.23	37	37
20	3	78	76.26	163	218
20	4	77	74.6	162	222
20	5	76	73.95	150	230
20	6	72	68.53	159	216
20	7	77	73.67	151	214
21	1	69	0	0	0
21	2	69	17.5	41	98
21	3	78	75.5	151	368
21	4	76	72.96	156	334
21	5	77	74.04	150	411
21	6	72	69.81	179	275
21	7	77	74.87	169	388
22	1	69	0	0	0
22	2	69	16.69	36	52
22	3	76	74.37	190	316
22	4	76	73.79	178	327
22	5	76	74.06	151	252
22	6	73	69.79	139	252
22	7	75	73.14	129	207
23	1	176	0	0	0
23	2	176	21.75	47	71
23	3	176	148.63	319	476
23	4	204	200.78	441	667
23	5	188	186.37	428	633
23	6	176	164.33	372	609
23	7	195	191.95	448	644
24	1	176	0	0	0
24	2	176	23.99	37	134
24	3	195	192.75	356	880
24	4	188	186.04	324	892
24	5	176	171.95	300	615
24	6	176	149.24	255	644
24	7	195	193.29	335	834
25	1	176	0	0	0
25	2	176	19.06	39	60
25	3	176	44.86	102	170
25	4	176	62.83	142	233
25	5	176	73.81	172	285
25	6	215	210.86	523	813
25	7	197	192.61	492	781
26	1	176	0	0	0
26	2	176	22.83	48	94
26	3	176	166.11	421	814
26	4	197	195.43	463	856
26	5	181	178.94	400	712
26	6	176	159.56	379	785
26	7	194	190.13	448	939
27	1	51	0	0	0
27	2	51	0	0	0
27	3	51	0	0	0
27	4	51	0	0	0
27	5	51	0	0	0
27	6	51	0	0	0
27	7	51	0	0	0
28	1	176	0	0	0
28	2	176	11.04	22	41
28	3	176	72.98	152	242
28	4	176	91.47	189	329
28	5	176	85.06	180	292
28	6	176	113.99	253	390
28	7	176	110.84	242	382
29	1	176	0	0	0
29	2	176	20.87	34	99
29	3	196	192.2	326	747
29	4	188	185.27	346	846
29	5	176	172.75	367	919
29	6	176	151.23	337	829
29	7	194	191.98	432	1096
30	1	176	0	0	0
30	2	176	10.38	18	27
30	3	176	54.19	90	158
30	4	176	61.23	104	185
30	5	176	21.73	41	87
30	6	176	39.76	69	126
30	7	176	32.27	57	108
31	1	176	0	0	0
31	2	176	1.8	3	5
31	3	176	1.56	4	5
31	4	176	1.77	4	11
31	5	176	2.32	4	4
31	6	176	0.79	2	3
31	7	176	0.45	1	1
32	1	176	0	0	0
32	2	176	26.06	42	92
32	3	194	191.92	341	837
32	4	189	185.29	331	798
32	5	176	174.03	323	699
32	6	176	150.67	303	641
32	7	194	190.88	404	901
33	1	51	0	0	0
33	2	51	0	0	0
33	3	51	0	0	0
33	4	51	0	0	0
33	5	51	0	0	0
33	6	51	0	0	0
33	7	51	0	0	0
34	1	51	0	0	0
34	2	51	0	0	0
34	3	51	0	0	0
34	4	51	0	0	0
34	5	51	0	0	0
34	6	51	0	0	0
34	7	51	0	0	0
35	1	176	0	0	0
35	2	176	21.81	45	69
35	3	196	192	342	474
35	4	190	186.96	310	431
35	5	176	169.69	311	420
35	6	176	152.76	274	425
35	7	195	192.78	335	410
36	1	176	0	0	0
36	2	176	22.7	42	67
36	3	194	191.88	390	796
36	4	189	186.9	347	662
36	5	176	171.36	354	652
36	6	176	152.45	291	567
36	7	199	195.72	342	624
37	1	176	0	0	0
37	2	176	21.52	35	73
37	3	188	185.88	307	692
37	4	183	180.26	314	687
37	5	177	175.1	302	686
37	6	176	160.77	303	669
37	7	197	192.77	381	940
38	1	176	0	0	0
38	2	176	22.38	44	55
38	3	191	187.88	416	688
38	4	189	186.26	389	541
38	5	176	174.58	359	528
38	6	176	152.06	318	492
38	7	195	193.08	389	594
39	1	176	0	0	0
39	2	176	22.65	41	70
39	3	195	192.78	338	825
39	4	189	186.1	339	788
39	5	176	171.11	330	819
39	6	176	150	290	683
39	7	196	193.27	379	952
40	1	176	0	0	0
40	2	176	23.07	36	73
40	3	194	192.36	336	575
40	4	190	185.77	307	610
40	5	176	170.98	301	594
40	6	176	151.48	264	507
40	7	195	192.08	346	621
41	1	11	0	0	0
41	2	11	0	0	0
41	3	11	0	0	0
41	4	11	0	0	0
41	5	14	10.81	25	35
